video,label,split
good_squat6.mp4,0,train
bad_squat13.mp4,1,train
good_squat1.mp4,0,train
bad_squat8.mp4,1,train
good_squat9.mp4,0,train
good_squat7.mp4,0,train
bad_squat10.mp4,1,train
good_squat10.mp4,0,train
bad_squat7.mp4,1,train
good_squat3.mp4,0,train
good_squat11.mp4,0,train
bad_squat1.mp4,1,train
bad_squat12.mp4,1,train
good_squat12.mp4,0,train
good_squat2.mp4,0,train
bad_squat5.mp4,1,train
bad_squat2.mp4,1,train
bad_squat6.mp4,1,test
bad_squat3.mp4,1,test
bad_squat9.mp4,1,test
good_squat5.mp4,0,test
good_squat8.mp4,0,test
bad_squat11.mp4,1,test
bad_squat4.mp4,1,test
good_squat4.mp4,0,test
